Date,Precipitation
2025-01-01,T
2025-01-02,4.0
2025-01-03,0.5
2025-01-04,0.0
2025-01-05,0.0
2025-01-06,0.0
2025-01-07,0.0
2025-01-08,0.0
2025-01-09,T
2025-01-10,T
2025-01-11,T
2025-01-12,0.0
2025-01-13,0.0
2025-01-14,1.5
2025-01-15,2.0
2025-01-16,0.0
2025-01-17,0.0
2025-01-18,0.5
2025-01-19,0.0
2025-01-20,0.0
2025-01-21,0.0
2025-01-22,T
2025-01-23,0.0
2025-01-24,0.0
2025-01-25,0.0
2025-01-26,0.0
2025-01-27,0.0
2025-01-28,0.0
2025-01-29,0.0
2025-01-30,0.0
2025-01-31,4.0
2025-02-01,9.0
2025-02-02,T
2025-02-03,0.0
2025-02-04,0.0
2025-02-05,0.0
2025-02-06,0.0
2025-02-07,0.0
2025-02-08,0.0
2025-02-09,0.0
2025-02-10,0.0
2025-02-11,T
2025-02-12,21.0
2025-02-13,17.0
2025-02-14,1.0
2025-02-15,0.0
2025-02-16,0.0
2025-02-17,0.0
2025-02-18,0.0
2025-02-19,0.0
2025-02-20,0.0
2025-02-21,0.0
2025-02-22,0.0
2025-02-23,0.0
2025-02-24,0.0
2025-02-25,0.0
2025-02-26,0.0
2025-02-27,0.0
2025-02-28,0.0
2025-03-01,0.0
2025-03-02,0.0
2025-03-03,0.0
2025-03-04,4.0
2025-03-05,0.0
2025-03-06,T
2025-03-07,0.0
2025-03-08,0.0
2025-03-09,0.0
2025-03-10,0.0
2025-03-11,0.0
2025-03-12,0.0
2025-03-13,T
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,T
2025-03-17,T
2025-03-18,5.0
2025-03-19,0.0
2025-03-20,0.0
2025-03-21,0.0
2025-03-22,0.0
2025-03-23,0.0
2025-03-24,0.0
2025-03-25,0.0
2025-03-26,0.0
2025-03-27,0.0
2025-03-28,0.0
2025-03-29,0.0
2025-03-30,T
2025-03-31,T
2025-04-01,0.0
2025-04-02,0.0
2025-04-03,T
2025-04-04,0.0
2025-04-05,T
2025-04-06,0.0
2025-04-07,0.0
2025-04-08,0.0
2025-04-09,0.0
2025-04-10,0.0
2025-04-11,T
2025-04-12,T
2025-04-13,3.0
2025-04-14,0.0
2025-04-15,0.0
2025-04-16,0.0
2025-04-17,0.0
2025-04-18,0.0
2025-04-19,0.0
2025-04-20,0.0
2025-04-21,0.0
2025-04-22,0.0
2025-04-23,0.0
2025-04-24,0.0
2025-04-25,0.0
2025-04-26,0.0
2025-04-27,0.0
2025-04-28,1.0
2025-04-29,0.0
2025-04-30,0.0
2025-05-01,0.0
2025-05-02,0.0
2025-05-03,
2025-05-04,0.0
2025-05-05,0.0
2025-05-06,0.0
2025-05-07,T
2025-05-08,0.0
2025-05-09,0.0
2025-05-10,7.0
2025-05-11,29.5
2025-05-12,T
2025-05-13,0.0
2025-05-14,0.0
2025-05-15,0.0
2025-05-16,0.0
2025-05-17,0.0
2025-05-18,0.0
2025-05-19,0.0
2025-05-20,0.0
2025-05-21,0.0
2025-05-22,0.0
2025-05-23,0.0
2025-05-24,0.0
2025-05-25,0.0
2025-05-26,0.0
2025-05-27,T
2025-05-28,T
2025-05-29,27.5
2025-05-30,0.5
2025-05-31,0.0
2025-06-01,32.0
2025-06-02,59.5
2025-06-03,58.5
2025-06-04,13.0
2025-06-05,T
2025-06-06,0.0
2025-06-07,7.5
2025-06-08,0.0
2025-06-09,0.0
2025-06-10,0.0
2025-06-11,3.0
2025-06-12,12.0
2025-06-13,191.0
2025-06-14,6.5
2025-06-15,0.0
2025-06-16,2.0
2025-06-17,0.0
2025-06-18,0.0
2025-06-19,8.5
2025-06-20,0.0
2025-06-21,0.0
2025-06-22,0.0
2025-06-23,0.0
2025-06-24,0.0
2025-06-25,0.0
2025-06-26,2.0
2025-06-27,77.5
2025-06-28,1.0
2025-06-29,2.0
2025-06-30,0.0
2025-07-01,0.0
2025-07-02,0.0
2025-07-03,2.5
2025-07-04,0.0
2025-07-05,T
2025-07-06,171.0
2025-07-07,129.0
2025-07-08,T
2025-07-09,4.5
2025-07-10,108.5
2025-07-11,38.5
2025-07-12,1.5
