Slot_Start,Zone_ID,label,relevance,date,risk_score_xgb,risk_score_lr,risk_score_rf,risk_score,error_type,Zone_Name,Hour
2025-05-07 10:45:00,1,0,0,2025-05-07,0.80624634,0.9034075431895314,0.8467533784039821,0.80624634,False Positive (誤報),藝術學院,10
2025-05-07 14:00:00,1,0,0,2025-05-07,0.75141865,0.7806913832234645,0.7958331673612921,0.75141865,False Positive (誤報),藝術學院,14
2025-05-07 14:15:00,1,0,0,2025-05-07,0.72099996,0.7619707466437458,0.7879116670584932,0.72099996,False Positive (誤報),藝術學院,14
2025-05-07 14:30:00,1,0,0,2025-05-07,0.6846858,0.7230725745029478,0.774189472106861,0.6846858,False Positive (誤報),藝術學院,14
2025-05-07 14:45:00,1,0,0,2025-05-07,0.62529445,0.7118948372511608,0.7308568814201689,0.62529445,False Positive (誤報),藝術學院,14
2025-05-07 15:00:00,1,0,0,2025-05-07,0.5234652,0.5099896595355319,0.6308067324366918,0.5234652,False Positive (誤報),藝術學院,15
2025-05-07 15:45:00,1,0,0,2025-05-07,0.51153404,0.549655375932862,0.4832814807633145,0.51153404,False Positive (誤報),藝術學院,15
2025-05-08 09:00:00,1,0,0,2025-05-08,0.63717234,0.6475179619403573,0.6163186058473064,0.63717234,False Positive (誤報),藝術學院,9
2025-05-08 09:15:00,1,0,0,2025-05-08,0.6165011,0.600312867021687,0.6158578787241361,0.6165011,False Positive (誤報),藝術學院,9
2025-05-08 09:30:00,1,0,0,2025-05-08,0.5920656,0.5633355260671411,0.6066978192911772,0.5920656,False Positive (誤報),藝術學院,9
2025-05-08 09:45:00,1,0,0,2025-05-08,0.54944444,0.5010184667525628,0.5953632050970251,0.54944444,False Positive (誤報),藝術學院,9
2025-05-08 10:00:00,1,0,0,2025-05-08,0.57848257,0.5090391838879259,0.5185840750936073,0.57848257,False Positive (誤報),藝術學院,10
2025-05-08 10:15:00,1,0,0,2025-05-08,0.56695235,0.45851606974387454,0.48655887874513787,0.56695235,False Positive (誤報),藝術學院,10
2025-05-08 15:30:00,1,0,0,2025-05-08,0.6685874,0.48414612780976785,0.7292999371824588,0.6685874,False Positive (誤報),藝術學院,15
