"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","19.1","18.9","19.6","22.6","26.3","28.3","28.5","28.7","28.4","29.3","25.4","21.8"
"02","19.5","20.0","18.9","24.7","26.7","29.4","30.5","28.7","28.2","29.1","25.3","21.5"
"03","18.7","19.5","17.1","24.7","27.1","28.4","29.9","29.5","27.1","27.6","25.4","21.8"
"04","19.0","19.7","18.5","24.6","28.4","28.0","29.7","29.6","26.4","26.7","25.4","22.5"
"05","18.6","20.2","18.6","26.1","29.2","29.1","29.6","29.5","28.0","27.7","25.7","23.0"
"06","20.0","22.0","18.9","26.6","30.0","29.4","29.4","29.3","28.6","25.5","26.2","22.3"
"07","20.0","22.9","20.1","24.9","27.5","29.8","29.7","27.5","26.4","26.6","26.1","21.8"
"08","20.5","20.9","19.7","22.6","25.6","29.8","29.9","28.2","25.5","26.7","25.7","21.8"
"09","20.3","21.6","20.1","22.9","23.8","29.5","29.9","28.6","25.3","27.0","26.0","23.6"
"10","20.6","23.5","20.8","23.0","24.7","28.9","29.9","26.2","26.2","27.2","27.3","24.6"
"11","21.5","22.2","21.5","24.0","25.6","27.9","28.7","27.0","27.1","27.5","26.2","25.0"
"12","21.0","24.6","21.8","24.6","26.1","26.6","28.6","29.1","27.4","26.5","25.0","25.1"
"13","23.4","24.9","19.7","24.5","25.7","27.2","27.9","28.3","27.3","26.5","23.3","23.2"
"14","24.2","17.4","20.1","25.9","25.5","28.2","29.3","27.3","27.3","26.6","22.8","23.3"
"15","21.6","15.8","21.6","26.8","24.8","26.7","30.1","27.2","27.6","26.3","23.4","24.1"
"16","17.1","17.2","22.0","26.7","25.8","27.6","29.4","27.3","28.2","25.3","24.4","22.0"
"17","17.3","19.0","22.7","26.1","27.8","29.3","31.3","25.5","28.6","25.4","20.0","18.6"
"18","17.4","19.9","22.5","28.4","28.5","29.4","30.0","26.9","28.6","25.9","18.7","20.1"
"19","17.9","20.7","22.7","28.4","28.1","29.0","27.6","26.8","28.3","26.3","19.5","21.9"
"20","18.2","19.4","23.5","26.1","28.7","29.1","28.0","28.5","28.5","26.4","20.4","17.6"
"21","18.4","18.3","24.2","25.9","29.2","29.2","29.1","29.1","29.1","25.6","21.2","16.0"
"22","20.9","16.8","24.2","26.6","29.4","29.6","29.6","28.8","28.9","26.4","21.2","14.7"
"23","21.3","18.8","23.9","26.1","27.1","29.5","28.9","28.9","28.7","26.4","21.7","16.6"
"24","15.7","19.3","25.4","26.3","27.0","30.2","29.5","28.3","29.1","26.5","21.5","17.7"
"25","14.0","17.8","24.6","25.5","28.4","29.8","28.9","28.5","29.2","26.5","21.1","16.4"
"26","16.8","17.0","22.5","25.8","28.6","28.9","26.7","28.2","29.3","26.0","21.8","17.8"
"27","15.4","17.4","21.7","26.4","27.1","28.8","25.7","28.4","29.3","25.5","22.8","20.2"
"28","12.6","17.7","22.5","26.6","28.0","27.8","25.9","28.8","28.3","26.3","23.2","20.3"
"29","14.2","--","22.5","27.3","28.3","29.1","29.3","28.3","28.5","25.3","24.3","20.4"
"30","15.3","--","23.9","27.6","28.9","30.6","27.8","28.0","29.4","25.6","24.6","19.2"
"31","15.9","--","24.1","--","28.3","--","28.0","27.2","--","25.6","--","22.0"
"平均","18.6","19.8","21.6","25.6","27.3","28.8","28.9","28.1","28.0","26.5","23.5","20.9"
