
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","18.5","20.8","22.1","19.1","26.6","28.4","29.8","27.5","28.7","28.3","25.0","23.7"
"02","17.7","19.5","24.4","18.8","27.0","27.7","29.7","27.8","28.1","28.0","26.4","23.9"
"03","17.7","16.5","26.4","20.8","--","26.8","29.6","27.9","28.4","27.8","25.4","21.5"
"04","17.2","14.6","24.9","22.6","28.8","27.2","28.7","26.3","28.8","28.4","24.8","19.7"
"05","18.4","15.6","23.8","22.3","28.9","27.9","27.4","28.5","29.0","28.3","25.5","--"
"06","18.1","17.4","18.0","23.3","28.3","29.4","25.6","28.9","29.1","28.4","25.7","--"
"07","16.7","17.1","18.4","24.6","28.4","29.4","26.7","28.4","29.5","28.6","26.5","--"
"08","18.1","14.1","18.9","25.5","29.8","30.2","28.9","28.6","29.7","28.3","25.9","--"
"09","17.9","14.5","19.8","25.5","30.7","29.9","28.6","29.9","29.2","28.2","25.7","--"
"10","15.5","15.8","20.3","25.5","28.2","29.7","25.5","30.0","27.6","28.2","23.6","--"
"11","15.5","18.0","23.1","26.5","22.9","29.6","27.3","29.1","28.1","28.1","24.5","--"
"12","15.5","18.1","25.2","27.5","23.3","27.5","29.2","28.9","28.1","28.4","23.6","--"
"13","15.0","17.3","26.7","19.7","26.4","26.1","28.8","27.2","28.3","28.8","24.0","--"
"14","17.3","16.9","25.6","21.9","27.2","29.5","28.5","28.3","28.4","28.3","24.6","--"
"15","16.0","19.5","25.2","23.5","28.2","30.5","28.3","27.9","28.8","28.1","23.7","--"
"16","14.9","19.3","17.8","23.9","29.3","28.6","28.9","28.4","28.0","28.4","24.2","--"
"17","15.4","19.4","15.5","26.3","30.0","28.7","29.0","28.3","28.2","28.1","24.5","--"
"18","16.5","19.0","14.7","27.4","30.7","28.3","28.2","27.5","26.8","28.3","22.5","--"
"19","18.2","18.0","17.2","27.0","29.9","28.1","26.8","27.1","28.0","27.6","19.1","--"
"20","18.1","18.8","18.0","27.2","30.1","29.2","27.0","26.6","28.1","27.3","19.2","--"
"21","18.6","18.9","18.3","27.1","30.5","29.2","27.9","27.9","27.3","26.6","21.1","--"
"22","19.5","18.2","18.9","26.2","29.6","28.6","28.2","28.7","27.7","26.4","21.4","--"
"23","20.1","18.5","20.0","26.8","29.4","28.7","29.2","29.3","25.1","26.3","22.1","--"
"24","19.2","17.5","21.1","27.4","29.4","29.5","29.4","28.2","25.8","27.1","23.0","--"
"25","19.4","17.9","22.7","27.0","29.1","30.2","28.5","28.6","28.0","27.4","22.6","--"
"26","18.5","18.8","25.2","25.7","26.6","27.8","27.9","27.3","28.5","27.4","20.9","--"
"27","13.5","19.5","25.6","26.2","27.2","26.6","29.6","26.6","28.9","26.3","20.2","--"
"28","14.4","20.9","25.1","25.6","28.3","27.9","26.7","27.9","28.4","25.2","20.3","--"
"29","15.7","--","21.7","26.1","26.4","27.3","26.0","28.7","28.5","25.9","21.8","--"
"30","17.4","--","19.7","25.7","26.0","28.7","28.9","28.8","28.6","27.1","22.6","--"
"31","18.5","--","19.0","--","27.5","--","28.8","28.7","--","26.4","--","--"
"平均","17.2","17.9","21.4","24.8","28.2","28.6","28.2","28.2","28.2","27.6","23.3","22.2"
